City,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson
Linwood,6950,0,0,0,0,0,86,20,63,3,0
Little Egg Harbor Township,20686,33,0,11,1,21,279,54,221,4,0
Little Falls Township,14478,10,0,0,1,9,151,11,125,15,1
Little Ferry,10970,10,0,0,0,10,75,7,59,9,0
Little Silver,5901,2,0,0,1,1,45,3,42,0,0
Livingston Township,29788,14,2,3,5,4,340,29,299,12,0
Loch Arbour,186,0,0,0,0,0,9,3,6,0,0
Lodi,24841,32,0,2,13,17,317,55,241,21,0
Logan Township,5939,4,0,0,1,3,92,14,71,7,0
Long Beach Township,3015,2,0,0,0,2,70,10,59,1,0
Long Branch,30959,107,1,13,37,56,752,107,628,17,0
Long Hill Township,8749,0,0,0,0,0,39,1,36,2,0
Longport,884,2,0,0,0,2,8,0,8,0,0
Lopatcong Township,8281,1,0,0,1,0,50,18,27,5,0
Lower Alloways Creek Township,1702,2,0,1,0,1,7,3,4,0,0
Lower Township,21982,20,0,1,6,13,387,89,292,6,0
Lumberton Township,12400,17,2,1,6,8,217,16,193,8,1
Lyndhurst Township,22530,19,0,3,7,9,237,14,202,21,0
Madison,16098,3,0,1,1,1,96,14,81,1,1
Magnolia,4267,10,0,0,3,7,73,13,52,8,0
Mahwah Township,26588,4,0,0,2,2,150,7,135,8,1
Manalapan Township,40407,27,0,4,4,19,241,39,195,7,0
Manasquan,5798,0,0,0,0,0,119,15,103,1,0
Manchester Township,43525,25,0,3,6,16,216,84,128,4,2
"Mansfield Township, Burlington County",8578,5,1,3,0,1,83,14,57,12,1
"Mansfield Township, Warren County",7461,2,0,0,1,1,125,12,111,2,0
Mantoloking,244,0,0,0,0,0,7,1,6,0,0
Mantua Township,14939,4,0,0,2,2,273,52,215,6,2
Manville,10424,11,0,2,2,7,265,34,214,17,1
Maple Shade Township,18927,43,0,10,19,14,313,71,218,24,0
Maplewood Township,24743,25,0,1,23,1,331,43,257,31,0
Margate City,6214,10,0,6,1,3,123,25,94,4,0
Marlboro Township,40764,10,0,1,2,7,243,25,202,16,0
Matawan,8851,2,0,0,1,1,35,5,25,5,0
Maywood,9804,5,0,0,2,3,77,13,64,0,0
Medford Lakes,4072,3,0,1,0,2,35,4,30,1,0
Medford Township,23481,21,0,5,4,12,182,25,154,3,2
Mendham,4979,2,0,0,0,2,17,2,15,0,0
Mendham Township,5846,0,0,0,0,0,20,7,11,2,0
Merchantville,3751,1,1,0,0,0,38,8,27,3,3
Metuchen,13879,4,0,0,3,1,177,38,131,8,0
Middlesex Borough,13923,5,0,2,1,2,91,20,69,2,0
Middle Township,18555,49,0,4,9,36,483,72,390,21,4
Middletown Township,65919,17,0,3,4,10,436,62,364,10,1
Midland Park,7330,4,0,2,1,1,34,1,33,0,0
Millburn Township,20310,7,0,0,6,1,347,17,311,19,0
Milltown,7044,5,1,2,1,1,87,10,77,0,1
Millville,28177,223,4,22,82,115,1714,304,1352,58,3
Mine Hill Township,3547,1,0,0,1,0,30,8,21,1,0
Monmouth Beach,3233,8,0,1,2,5,46,5,41,0,0
"Monroe Township, Gloucester County",36805,34,0,1,20,13,549,139,394,16,2
"Monroe Township, Middlesex County",44923,5,0,0,0,5,162,30,123,9,0
Montclair,38108,49,0,4,24,21,572,124,417,31,0
Montgomery Township,23160,4,0,0,0,4,93,16,76,1,1
Montvale,8519,1,0,0,0,1,34,3,29,2,0
Montville Township,21801,10,0,1,0,9,253,146,102,5,1
Moonachie,2790,0,0,0,0,0,44,8,28,8,0
Moorestown Township,20530,8,0,2,3,3,299,48,245,6,0
Morris Plains,5615,5,0,0,2,3,73,6,57,10,1
Morristown,18544,62,0,5,33,24,314,26,275,13,0
Morris Township,22555,8,0,0,1,7,131,20,106,5,0
Mountain Lakes,4291,0,0,0,0,0,47,8,33,6,0
Mountainside,6887,0,0,0,0,0,35,20,14,1,0
Mount Arlington,5324,1,0,0,0,1,32,6,25,1,0
Mount Ephraim,4609,9,0,0,7,2,166,15,147,4,1
Mount Holly Township,9483,44,1,11,7,25,303,35,262,6,1
Mount Laurel Township,41828,33,0,9,8,16,630,79,529,22,0
Mount Olive Township,29095,10,0,5,3,2,155,36,115,4,1
Mullica Township,6089,6,0,0,0,6,81,24,52,5,1
National Park,2975,5,0,0,2,3,43,17,25,1,1
Neptune City,4790,12,0,0,6,6,142,23,117,2,0
Neptune Township,27505,158,3,5,64,86,917,132,774,11,3
Netcong,3240,7,0,0,4,3,34,5,26,3,0
Newark,281450,2637,100,99,1334,1104,6308,1138,3048,2122,41
New Brunswick,57158,392,1,38,211,142,1252,319,859,74,15
Newfield,1522,1,0,0,1,0,15,3,12,0,0
New Hanover Township,8218,2,0,0,1,1,4,3,1,0,0
New Milford,16804,2,0,0,2,0,41,7,34,0,0
New Providence,12461,1,0,0,1,0,56,7,46,3,0
Newton,7950,13,0,0,3,10,138,25,107,6,2
North Arlington,15921,9,1,0,2,6,156,20,130,6,4
North Bergen Township,63113,107,1,17,35,54,602,81,444,77,3
North Brunswick Township,42777,64,0,8,18,38,602,107,469,26,1
North Caldwell,6732,0,0,0,0,0,29,7,20,2,0
Northfield,8502,3,0,0,0,3,71,18,53,0,0
North Haledon,8529,2,0,1,1,0,44,13,28,3,0
North Hanover Township,7594,0,0,0,0,0,32,8,22,2,0
North Plainfield,22135,55,0,6,29,20,385,90,272,23,0
Northvale,4876,0,0,0,0,0,5,0,5,0,0
North Wildwood,3874,7,0,2,2,3,188,20,168,0,0
Norwood,5869,1,0,0,1,0,13,0,13,0,0
Nutley Township,28673,34,0,4,12,18,255,40,205,10,0
Oakland,13176,8,0,0,1,7,71,15,54,2,0
Oaklyn,3963,5,0,2,3,0,140,32,99,9,1
Ocean City,11287,14,0,1,5,8,364,58,306,0,1
Ocean Gate,2004,1,0,0,0,1,28,7,20,1,0
Oceanport,5718,6,0,0,3,3,45,6,38,1,0
"Ocean Township, Monmouth County",27070,35,0,1,18,16,615,94,514,7,3
"Ocean Township, Ocean County",8927,0,0,0,0,0,63,6,56,1,0
Ogdensburg,2266,0,0,0,0,0,11,3,8,0,0
Old Bridge Township,67238,28,1,1,5,21,665,68,567,30,2
Old Tappan,6039,0,0,0,0,0,27,5,22,0,0
Oradell,8222,0,0,0,0,0,31,4,27,0,0
Orange,30470,342,11,11,210,110,843,198,417,228,5
Oxford Township,2449,0,0,0,0,0,16,3,12,1,0
Palisades Park,20861,18,0,0,8,10,113,28,74,11,0
Palmyra,7296,13,0,1,2,10,198,22,173,3,0
Paramus,26958,33,0,1,21,11,1147,37,1097,13,0
Park Ridge,8927,4,0,0,1,3,19,11,8,0,0
Parsippany-Troy Hills Township,53447,34,0,7,11,16,363,82,260,21,0
Passaic,70972,398,0,5,178,215,1106,198,754,154,3
Paterson,147265,1126,19,56,551,500,3154,957,1526,671,12
Paulsboro,5937,22,2,1,14,5,168,56,109,3,1
Peapack and Gladstone,2603,0,0,0,0,0,27,13,12,2,1
Pemberton Borough,1378,2,0,1,0,1,49,5,38,6,1
Pemberton Township,27739,97,3,13,31,50,643,240,381,22,9
Pennington,2586,0,0,0,0,0,8,1,7,0,0
Pennsauken Township,35402,103,3,3,39,58,928,344,517,67,9
Penns Grove,4908,41,1,2,17,21,177,41,124,12,4
Pennsville Township,12720,5,1,0,2,2,207,30,175,2,0
Pequannock Township,15425,3,0,0,1,2,107,17,90,0,0
Perth Amboy,52767,210,0,7,68,135,806,185,534,87,4
Phillipsburg,14435,29,0,4,14,11,300,68,218,14,1
Pine Beach,2149,0,0,0,0,0,8,0,8,0,0
Pine Hill,10514,21,0,2,8,11,192,52,125,15,2
Pine Valley,12,0,0,0,0,0,0,0,0,0,0
Piscataway Township,58181,36,1,4,10,21,467,84,358,25,0
Pitman,8830,2,0,0,0,2,55,10,42,3,0
Plainfield,51221,346,12,17,147,170,958,283,599,76,6
Plainsboro Township,23621,9,0,0,0,9,140,22,105,13,0
Pleasantville,20855,114,3,1,42,68,368,141,186,41,1
Plumsted Township,8511,7,0,3,1,3,29,8,19,2,0
Pohatcong Township,3224,1,0,0,1,0,129,4,124,1,0
Point Pleasant,18502,4,0,0,0,4,158,34,121,3,0
Point Pleasant Beach,4519,3,0,0,2,1,106,10,92,4,1
Pompton Lakes,11164,10,0,0,1,9,94,14,78,2,0
Princeton,29660,15,0,2,0,13,233,34,194,5,0
Prospect Park,5940,14,0,0,3,11,101,4,85,12,0
Rahway,29797,37,1,3,14,19,348,49,253,46,2
Ramsey,15145,12,0,0,6,6,127,5,116,6,0
Randolph Township,25877,5,0,0,2,3,127,21,100,6,0
Raritan,8268,4,0,0,0,4,159,17,135,7,0
Raritan Township,22011,2,0,0,0,2,112,26,81,5,0
Readington Township,15893,8,0,1,2,5,93,29,63,1,0
Red Bank,12187,25,0,2,13,10,205,20,180,5,0
Ridgefield,11380,3,1,0,1,1,58,13,39,6,0
Ridgefield Park,13107,17,0,0,7,10,130,20,105,5,0
Ridgewood,25617,7,0,0,3,4,205,32,171,2,0
Ringwood,12427,3,0,0,1,2,60,13,46,1,0
Riverdale,4409,5,0,1,1,3,131,4,123,4,0
River Edge,11671,5,0,1,1,3,59,23,36,0,1
Riverside Township,7980,11,1,1,2,7,11,4,6,1,0
Riverton,2741,1,0,0,0,1,53,5,47,1,0
River Vale Township,10053,0,0,0,0,0,26,2,24,0,0
Robbinsville Township,14209,7,0,3,3,1,62,14,48,0,0
Rochelle Park Township,5683,4,0,0,3,1,98,16,80,2,0
Rockaway,6471,4,0,0,4,0,86,12,71,3,0
Rockaway Township,24655,12,0,0,8,4,381,22,352,7,0
Rockleigh,530,0,0,0,0,0,1,0,1,0,0
Roseland,5857,1,0,0,0,1,41,1,37,3,0
Roselle,21669,36,0,0,26,10,327,76,207,44,1
Roselle Park,13669,5,0,3,1,1,146,34,102,10,1
Roxbury Township,23425,8,0,0,1,7,213,34,177,2,0
Rumson,6886,2,0,0,2,0,38,2,28,8,0
Runnemede,8322,10,0,1,4,5,358,145,199,14,0
Rutherford,18717,13,0,0,2,11,204,29,168,7,1
Saddle Brook Township,14108,2,0,1,1,0,250,17,218,15,0
Saddle River,3256,1,0,0,0,1,20,5,13,2,0
Salem,4849,53,3,3,16,31,178,74,95,9,2
Sayreville,45141,30,1,4,7,18,373,48,292,33,0
Scotch Plains Township,24144,9,0,3,0,6,153,31,119,3,0
Sea Bright,1331,2,0,0,0,2,2,0,2,0,0
